,Total Frame Lenght
0,39
1,52
2,64
3,79
4,56
5,49
6,48
7,38
8,39
9,44
10,71
11,45
12,51
13,66
14,81
15,62
16,52
17,37
18,39
19,67
20,40
21,54
22,59
23,83
24,59
25,49
26,39
27,36
28,45
29,59
30,36
31,34
32,37
33,72
34,48
35,59
36,78
37,53
38,46
39,38
40,38
41,69
42,65
43,33
44,34
45,69
46,42
47,53
48,60
49,77
50,58
51,51
52,35
53,31
54,66
55,46
56,56
57,63
58,45
59,36
60,35
61,37
62,68
63,41
64,51
65,61
66,69
67,53
68,48
69,48
70,39
71,36
72,40
73,44
74,84
